Ped,#sequences,#sequences_day,sequences_nigth,#bboxes,#bboxes_day,#bboxes_nigth,#cams,#cams_day,#cams_night
1001210244,4,2,2,340,164,176,4,3,3
1004114196,4,2,2,199,127,72,5,2,4
1005070462,1,1,0,12,12,0,1,1,0
1021093698,3,2,1,197,177,20,3,3,1
1024089777,2,2,0,42,42,0,2,2,0
1032073858,4,2,2,369,65,304,3,3,3
1039800368,4,2,2,247,123,124,4,3,3
1055701597,3,2,1,119,67,52,3,2,1
1064866854,1,1,0,53,53,0,1,1,0
1068876755,2,1,1,206,123,83,2,2,2
1074457665,3,1,2,46,17,29,2,1,2
1077785853,3,2,1,139,77,62,3,2,2
1082572151,2,2,0,80,80,0,2,2,0
1090617681,3,2,1,77,65,12,2,2,1
1092080539,2,2,0,117,117,0,2,2,0
1095737979,0,0,0,0,0,0,0,0,0
1096929346,3,2,1,86,29,57,3,2,1
1097048408,3,2,1,117,88,29,2,2,1
1099825042,2,2,0,73,73,0,3,3,0
1129928304,1,1,0,8,8,0,1,1,0
1142162924,1,1,0,28,28,0,1,1,0
1146800212,3,2,1,215,140,75,2,2,1
115168927,4,2,2,235,108,127,3,2,2
1161072059,2,1,1,8,6,2,1,1,1
1165307954,3,2,1,110,72,38,4,3,1
1165780219,2,1,1,15,1,14,3,1,2
1169888870,4,2,2,52,16,36,4,2,3
117698822,3,2,1,212,144,68,3,2,1
1182012905,2,2,0,34,34,0,2,2,0
1189322339,3,2,1,133,66,67,4,4,1
1191548746,2,2,0,30,30,0,2,2,0
1204772502,2,1,1,142,83,59,1,1,1
1206185632,2,1,1,69,65,4,2,1,1
1209091352,4,2,2,233,100,133,3,2,2
1224306523,3,2,1,59,21,38,3,2,2
1226102803,3,2,1,179,99,80,2,2,1
1240094341,2,2,0,142,142,0,2,2,0
1240128502,1,1,0,7,7,0,2,2,0
1250841910,3,2,1,129,106,23,3,3,2
1264851357,1,1,0,81,81,0,1,1,0
1264920838,3,2,1,206,133,73,2,2,1
1268862154,2,1,1,69,14,55,2,1,1
1283141381,3,2,1,179,163,16,2,2,1
1302784073,2,2,0,73,73,0,2,2,0
1309468115,4,2,2,108,77,31,3,2,2
1312913862,3,2,1,73,71,2,2,2,1
131961260,2,2,0,31,31,0,3,3,0
1325314544,2,1,1,49,26,23,1,1,1
1328415626,4,2,2,312,168,144,4,3,3
1329576454,3,2,1,195,157,38,2,2,1
1330042375,3,2,1,231,176,55,3,3,1
1346941736,2,1,1,14,9,5,1,1,1
1347814329,4,2,2,155,44,111,3,2,2
1358380044,3,2,1,153,147,6,3,2,1
1371553700,2,1,1,83,8,75,1,1,1
1380197501,3,2,1,61,45,16,3,3,1
1381498905,3,2,1,172,106,66,4,3,1
1382414087,3,2,1,149,110,39,4,2,2
1388848350,2,2,0,47,47,0,2,2,0
1401530684,4,2,2,141,35,106,2,2,2
1404403376,2,2,0,93,93,0,2,2,0
1413662315,1,1,0,71,71,0,1,1,0
1416254276,3,1,2,118,42,76,3,2,2
1423699487,3,2,1,228,138,90,2,2,1
1426880966,3,2,1,110,47,63,3,2,1
1430544400,3,2,1,151,115,36,3,2,1
1446741360,2,1,1,38,3,35,2,1,1
1456041926,2,2,0,28,28,0,2,2,0
1459905209,0,0,0,0,0,0,0,0,0
1461287021,2,1,1,38,19,19,3,2,1
1464257942,2,2,0,108,108,0,2,2,0
1466037421,1,1,0,10,10,0,1,1,0
1490458366,2,1,1,73,6,67,2,2,2
1498487404,2,1,1,52,33,19,2,1,1
1519319503,3,2,1,11,5,6,2,2,1
1520708641,3,1,2,89,12,77,3,1,2
1530648845,1,1,0,26,26,0,1,1,0
1535236204,3,2,1,20,8,12,3,2,2
153984193,4,2,2,144,26,118,4,2,3
1546450936,1,1,0,3,3,0,1,1,0
1558115333,3,2,1,304,173,131,3,3,2
1561705728,3,2,1,169,120,49,2,2,1
1567728751,2,2,0,82,82,0,2,2,0
1573528872,3,2,1,174,113,61,2,2,1
1581098148,2,1,1,107,47,60,2,1,1
1596003233,2,1,1,88,71,17,2,1,1
1624626906,2,1,1,58,37,21,2,1,1
1625728984,3,2,1,169,113,56,2,2,1
1626646295,2,2,0,81,81,0,2,2,0
1631478380,2,2,0,21,21,0,2,2,0
1633872967,3,2,1,216,133,83,2,2,1
1634506681,2,2,0,98,98,0,2,2,0
1640504453,3,2,1,230,186,44,5,3,2
1641152947,3,1,2,73,5,68,3,1,2
1644266841,2,2,0,62,62,0,2,2,0
1650036788,1,0,1,61,0,61,1,0,1
1650288984,3,2,1,41,23,18,3,2,1
1657546978,1,0,1,2,0,2,1,0,1
1669696074,2,2,0,51,51,0,2,2,0
1674107025,2,2,0,94,94,0,2,2,0
1681385341,3,2,1,105,89,16,3,3,1
1694362237,3,2,1,124,94,30,3,2,2
1699403886,2,2,0,62,62,0,3,3,0
1702441027,3,2,1,69,54,15,2,2,1
1704428387,3,2,1,72,22,50,3,2,1
1706635382,0,0,0,0,0,0,0,0,0
1720428295,3,1,2,229,86,143,3,1,3
1728056212,3,1,2,206,62,144,3,2,2
1746653202,1,1,0,40,40,0,1,1,0
1750583735,1,1,0,16,16,0,1,1,0
1752208920,4,2,2,249,109,140,5,3,3
1755064960,1,1,0,67,67,0,1,1,0
1767892582,1,0,1,52,0,52,1,0,1
1768677545,2,1,1,98,22,76,2,1,1
1776856003,3,2,1,67,22,45,2,2,1
1777626099,3,1,2,208,113,95,3,2,3
1787764635,4,2,2,231,94,137,2,2,2
1794381917,3,2,1,72,24,48,4,3,1
1809430156,2,1,1,48,36,12,2,1,1
1822107721,2,2,0,133,133,0,2,2,0
1822283721,1,1,0,23,23,0,1,1,0
1825562762,3,2,1,197,88,109,3,2,2
1830688247,2,2,0,68,68,0,2,2,0
1846684678,3,2,1,167,146,21,4,3,1
1863555924,2,1,1,21,10,11,3,1,2
188012277,3,1,2,68,5,63,3,1,2
1885233650,2,1,1,3,2,1,2,1,1
1888624839,3,2,1,71,54,17,3,2,1
189425762,3,2,1,203,129,74,4,3,1
1906124788,3,2,1,103,69,34,3,2,1
1925237458,3,2,1,57,55,2,3,2,1
193469166,1,1,0,9,9,0,1,1,0
1936142927,4,2,2,185,54,131,4,3,3
193817059,4,2,2,43,8,35,3,2,2
1939545845,2,2,0,53,53,0,2,2,0
1943971979,3,2,1,221,205,16,4,4,1
1951946145,3,2,1,129,57,72,2,2,1
1952555184,3,2,1,222,150,72,2,2,1
1975732938,3,2,1,203,151,52,2,2,1
1976765073,4,2,2,196,137,59,3,2,3
1982350912,3,2,1,88,81,7,2,2,1
1984382277,2,1,1,51,23,28,2,1,1
1985653476,3,2,1,77,73,4,3,2,1
2007797722,4,2,2,16,5,11,3,2,2
2010389054,1,1,0,16,16,0,1,1,0
2014052797,4,2,2,95,56,39,3,3,3
2021631368,3,2,1,199,187,12,3,3,1
2035992488,2,1,1,21,12,9,1,1,1
2040438510,1,1,0,2,2,0,1,1,0
2047212121,2,1,1,56,24,32,3,2,1
2050158196,2,1,1,70,62,8,2,1,1
2064532783,1,1,0,74,74,0,1,1,0
2073775040,4,2,2,259,104,155,3,2,2
2089096292,1,1,0,6,6,0,1,1,0
2093736314,2,1,1,12,2,10,1,1,1
2097407511,4,2,2,266,131,135,2,2,2
2109968527,3,2,1,172,128,44,2,2,1
2111372120,2,1,1,161,60,101,2,1,2
2114544056,3,2,1,67,54,13,2,2,1
2119136831,3,2,1,94,76,18,3,2,1
2120901815,3,2,1,20,13,7,2,2,1
2124742566,3,2,1,188,175,13,3,3,1
2129936603,3,2,1,55,52,3,4,3,1
2141384740,2,0,2,54,0,54,2,0,2
2162532142,3,2,1,220,151,69,3,3,2
2168724337,4,2,2,97,40,57,3,2,2
2180468199,2,1,1,28,3,25,2,1,1
2181772221,2,1,1,32,6,26,2,2,1
2185745201,3,2,1,102,47,55,3,3,1
2206530719,2,1,1,86,45,41,2,1,1
2217202584,4,2,2,266,172,94,2,2,2
2217749257,2,2,0,135,135,0,3,3,0
2218630415,2,2,0,111,111,0,2,2,0
2230970679,2,2,0,27,27,0,2,2,0
2231547570,2,2,0,68,68,0,2,2,0
2237544099,2,2,0,95,95,0,3,3,0
2243544680,2,1,1,27,26,1,2,1,1
225287241,4,2,2,103,33,70,3,3,2
225514697,3,2,1,96,59,37,3,3,1
2255803900,3,1,2,216,79,137,3,2,3
2255894993,3,2,1,51,21,30,3,2,1
2260598310,2,2,0,82,82,0,2,2,0
226559113,3,2,1,126,48,78,5,3,2
2276611093,2,2,0,113,113,0,2,2,0
228356856,3,2,1,69,13,56,3,2,1
228715206,2,1,1,20,7,13,2,1,1
2318861297,3,2,1,88,52,36,3,2,1
233415434,2,2,0,95,95,0,2,2,0
2340239206,2,1,1,59,21,38,1,1,1
2346291386,2,2,0,74,74,0,2,2,0
2359345766,2,1,1,52,45,7,2,1,1
2362341647,3,2,1,324,267,57,3,3,2
2374966032,4,2,2,195,128,67,4,2,3
238213328,3,2,1,218,156,62,3,3,1
2414729609,2,2,0,51,51,0,2,2,0
2422005962,3,1,2,119,43,76,2,1,2
2423691919,1,0,1,34,0,34,1,0,1
2426248831,0,0,0,0,0,0,0,0,0
2435054400,2,1,1,240,146,94,2,2,2
2442448387,2,2,0,229,229,0,4,4,0
2445950508,2,2,0,184,184,0,3,3,0
2457805603,2,2,0,28,28,0,3,3,0
2459507570,1,1,0,4,4,0,1,1,0
2488675799,4,2,2,133,80,53,3,2,3
2494442380,3,2,1,220,163,57,3,3,1
2512875213,4,2,2,55,26,29,3,2,2
2521108919,1,1,0,31,31,0,2,2,0
2521633500,1,1,0,23,23,0,2,2,0
2526768638,1,0,1,3,0,3,1,0,1
2534589327,3,2,1,269,189,80,3,3,2
2549481101,2,1,1,63,43,20,2,1,1
2557996913,2,2,0,45,45,0,2,2,0
2563194959,0,0,0,0,0,0,0,0,0
2577072326,4,2,2,178,140,38,3,3,3
257763003,3,2,1,135,101,34,4,4,1
2579169528,2,1,1,46,13,33,2,2,2
2585681490,2,2,0,40,40,0,2,2,0
2595446627,4,2,2,270,192,78,4,4,3
2597531625,2,1,1,59,43,16,1,1,1
2602752943,3,2,1,264,178,86,3,3,2
2606068340,2,1,1,23,7,16,2,1,1
2608926626,1,1,0,40,40,0,1,1,0
261428209,2,2,0,18,18,0,2,2,0
261586155,4,2,2,78,31,47,5,2,4
2620240008,2,2,0,94,94,0,3,3,0
2624589981,2,2,0,87,87,0,3,3,0
2627665880,2,2,0,25,25,0,2,2,0
2633130371,4,2,2,305,171,134,5,2,3
2634057640,2,1,1,92,12,80,3,1,2
2638072698,0,0,0,0,0,0,0,0,0
2651349821,3,2,1,104,64,40,3,2,1
2659242702,2,1,1,69,52,17,1,1,1
2674735073,1,0,1,25,0,25,1,0,1
2680389410,2,1,1,145,72,73,2,2,2
2680682039,2,2,0,127,127,0,3,3,0
2681481517,3,2,1,125,89,36,3,2,1
2688103263,3,2,1,155,109,46,3,2,1
2705543429,2,2,0,321,321,0,4,4,0
2718472679,1,1,0,63,63,0,1,1,0
2727244247,2,2,0,95,95,0,2,2,0
2733138262,4,2,2,156,77,79,3,2,2
2741999622,1,1,0,94,94,0,2,2,0
2756120947,0,0,0,0,0,0,0,0,0
275618457,3,2,1,189,149,40,2,2,1
